sorgu|1st|2nd|3rd|4th|5th
İşaret dili, görsel olarak algılanan bir doğal dil sistemi midir?|Dil|İşaret (anlam ayrımı)|Doğal dil üretme|Güzelova, İdil|Kaligram
Fazilet Partisi 1. Olağan Kongresi ne zaman yapılmıştır?|Altan Raşit Civan|Abdullah Gül|Ali Gören|Ulusal Birlik Partisi|Çin Komünist Partisi Ulusal Kongresi
Metinde ulaşımın çeşitleri nelerdir ve hangi yollar başlıca ulaşım yolları olarak belirtilmiştir?|Samsun'un il yolları|Avrupa E-yolu E33|Mersin'in il yolları|Çizge teorisi|Avrupa E-yolu E06
Mustafa Kemal'in cumhuriyet döneminde gerçekleştirdiği devrimler ve politikaları özetleyiniz.|Mustafa Kemal Atatürk'ün askerî kariyeri|Mustafa Kemal Atatürk|1923 Türkiye cumhurbaşkanlığı seçimi|Cumhuriyet için Seferberlik Buluşması|1927 Türkiye cumhurbaşkanlığı seçimi
Yoda, Luke Skywalker'ı bataklıklarda eğitmek için Dagobah gezegenine gitti mi?|Yoda|Tusken Akıncıları|Kylo Ren|Vufflens-le-Château|Örümcek Ayak
Metinde, coğrafya alanındaki temel paradigmaların tarihçesi ve belirli dönemlerdeki etkileri açıklanmaktadır. Hangi paradigmalar belirli dönemlerde öne çıkmıştır ve hangi düşünceleri temsil etmişlerdir?|Coğrafya|Periplus Maris Erythraei|Programlama dili|Role cetveli|Kırıkuşağı, Feke
Yıldız Savaşları'nın Yüksek Cumhuriyet dönemi kaç yıl öncesine dayanmaktadır?|Yıldız Savaşları|George Lucas|Turhan Kapanlı|Lucasfilm|Yüksek kültür
Hücre ölümüne ne ad verilir?|Sitoloji|Oligosakkarit|Perde (tiyatro)|Seul Müzik Ödülleri|Biyoloji
Sinema sanatının kaç temel öğesi vardır?|Sinema|CinemaScope|Hasan Karacadağ|Ahu Sungur|Fenerbahçe TV
Galatasaray, 1999-2000 sezonunda UEFA Kupası'nı kazanarak bir Avrupa Kupası kazanan ilk ve tek Türk futbol kulübü olmuş mudur?|Galatasaray SK|Fenerbahçe (futbol takımı) istatistikleri ve rekorları listesi|1997 UEFA Kupa Galipleri Kupası Finali|1998 Türkiye Kupası Finali|2009 UEFA Süper Kupası
Recep Tayyip Erdoğan hangi okullarda eğitim almıştır?|Recep Tayyip Erdoğan|Fahri Kasırga|Abdullah Gül|TÜGVA|Birleşik Krallık'ta eğitim
Elektronik mühendisliği kaç dalı inceler?|Mühendislik|Elektronik mühendisliği|Bilgisayar mühendisliği|Elektronik imza|Biyokimya mühendisliği
Antik Atina'da hukuk bilimi veya hukuka dair bir kelimeye rastlanmış mıdır?|Hukuk|Athena (Pontus)|Jenny Drosou|Nea İyonya|Stelios Serafidis
Audi'nin dünyanın ilk tamamen alüminyumdan yapılmış seri üretim otomobili hangisidir?|Audi|Çekim programı|2020 Yaz Olimpiyatları'nda kürek - Erkekler iki çifte|2004 Yaz Olimpiyatları'nda atletizm - Erkekler 110 metre engelli|Otomobil
Metinde Ferrari'nin 2007 Formula 1 sezonundaki performansı ve yaşanan olaylar hakkında detaylı bilgiler yer almaktadır. Ayrıca, Ferrari'nin satış prensipleri ve otomobil modelleri hakkında da bilgi verilmektedir.|Ferrari|Ferrari F93A|Giancarlo Fisichella|Cosworth|Ferrari 195 S
1984'te Hindistan'da gerçekleşen ve yaklaşık 1000 kişinin öldüğü olay nedir?|Vasco da Gama|Kurta (giyim)|Ontoloji|1984 Kış Olimpiyatları|1984
Türkiye'nin sınırlarını paylaştığı ülkeler arasında İran var mıdır?|İran sineması|Acı Hayat|Türkiye|Potentilla crantzii|Fereydoun Ghanbari
Hangi mitolojilerde depremlerin sebepleri hakkında inançlar bulunmaktadır?|Deprem|Sismotektonik|Periplus Maris Erythraei|Programlama dili|Hatsuyume
Hangi seçimde George W. Bush ikinci kez ABD başkanlığına seçildi?|II. George (anlam ayrımı)|Moving (Kate Bush şarkısı)|2004 Amerika Birleşik Devletleri başkanlık seçimleri|King of the Mountain (şarkı)|John Kerry
Mısır'da, granit, kumtaşı ve alabaster gibi yüksek kalitede yapı taşları bulunuyor muydu?|Antik Mısır|Aşağı Mısır|1952 Mısır Devrimi|Mısır Silahlı Kuvvetleri Yüksek Konseyi|El-Hevemdeyye
Bu listedeki Mısır tanrılarının çoğu hangi cinsiyete aittir?|Antik Mısır|Aşağı Mısır|El-Hevemdeyye|1952 Mısır Devrimi|Mısır Kupası
Metinde Ferrari'nin çeşitli modelleri ve üretim tarihleri detaylı bir şekilde listelenmiştir. Ayrıca, Ferrari'nin farklı segmentlerdeki arabaları ve üretim yılları hakkında bilgi verilmektedir.|Ferrari|Ferrari F93A|Giancarlo Fisichella|Çekim programı|Ferrari 195 S
Temuçin'in kaç yıl önce nişanlandığı Börte ile evlilik düğünü yapmak için yola çıktığı belirtilmiştir?|Cengiz Han|Figaro|En uzun evlilikler listesi|Türk malı|Futbol topu
Metinde, farklı toplumsal kuramların ve yaklaşımların temsilcileri ile ilgili bilgiler verilmektedir. Ayrıca, toplum biliminin toplumsal psikoloji ile ilişkisi ve bu alandaki temel kavramlar ele alınmaktadır.|Sosyoloji|Toplumsal eleştiri|Psikoterapinin tarihi|Sosyal dışlanma|Değerlerin değişmesi
Ahmet Şık hangi konuları ele alan kitaplar yazmıştır?|Ahmet Bilgin|Çıplak Ayaklıydı Gece|Hani Benim Gençliğim|Distopik filmler listesi|Beni Bul
Karl Marx'ın damadı olan sosyalist kimdir?|Karl Marx|Sosyalist devlet|Osmanlı Sosyalist Fırkası|948|Kosova Özerk Sosyalist Bölgesi
Hücre zarı, çift katlı lipit katmanından oluşur ve tam geçirgen midir?|Sitoloji|Biyoloji|Oligosakkarit|Mikoplazma pnömonisi|İnsula
Varlık fenomen olarak kabul edildiğinde hangi felsefi görüş ortaya çıkar?|Ontoloji|Türler sorunu|Cassius Maximus Tyrius|Formula Renault|Gece görüş aracı
İsmet İnönü'nün kabri nerededir?|Kümbet, İnönü|İsmet İnönü|Mevhibe İnönü|Ömer Evci|Hür Demokrat Parti (Kuzey Kıbrıs Türk Cumhuriyeti)
Yarı ölü bir dilde üst yaşlardan binlerce konuşan olması dilin yok olmasını engeller mi?|Mesapça|Dil|2012 Eurovision Şarkı Yarışması'nda Norveç|Ayka|2020 Avrupa Güreş Şampiyonası - Erkekler grekoromen 67 kg
Osmanlı İmparatorluğu’nda Tehcir Kanunu ile Ermeniler, Suriye'ye göç ettirilmiş midir?|Ermeni Kırımı'na Türk muhalefeti|Lazkiye Kuşatması|Kuzey Suriye'de Türkiye|Suriye pasaportu|Düyûn-ı Umûmiye
 Atatürk'ün doğum tarihi ve soyadı değişikliğiyle ilgili bilgileri özetleyin.|Konya Atatürk Evi Müzesi|Cemal Granda|İzmir Atatürk Müzesi|Mustafa Kemal Atatürk|Anıtkabir
Barış Manço hangi albümünde müzik hayatının 40 yılını anlatan 40. yıl şarkısını besteledi ancak sözlerini yazamadı?|Barış Manço|Renkli Rüyalar Oteli|Gandhi Barış Ödülü|Sultana|Google Play Müzik
Zazaca dilinin dilbilimi tarihinde hangi önemli çalışmalar yapılmıştır?|Zazaca|Okçular, Kovancılar|Altınışık, Bingöl|Programlama dili|Periplus Maris Erythraei
Karl Marx'ın dev çalışması Kapital'in ilk cildi hangi yıl yayımlandı?|Karl Marx|La casa de papel|LSD (albüm)|Karl-Gerät|V. Karl Sarayı
Barış Manço, Eurovision Şarkı Yarışması'nın Türkiye elemelerine Kazma şarkısıyla hangi yıl katılmıştır?|Barış Manço|2013 Eurovision Şarkı Yarışması'nda Almanya|2012 Eurovision Şarkı Yarışması'nda Makedonya Cumhuriyeti|Simon Mathew|Scooch
Antik Mısır, Arapların egemenliği altına girmiş midir?|Antik Mısır|Aşağı Mısır|El-Hevemdeyye|1952 Mısır Devrimi|Araxa
Mustafa Kemal'in Ankara'da Türkiye Büyük Millet Meclisi'ni açması ve milliyetçi hareketin gelişimi nasıl oldu?|Mustafa Kemal Atatürk'ün askerî kariyeri|Mustafa Kemal Atatürk|1927 Türkiye cumhurbaşkanlığı seçimi|1923 Türkiye cumhurbaşkanlığı seçimi|Faruk Koca
Üçüncü ve dördüncü kısımların inşaatı hangi tarihlerde tamamlandı?|Bebekler, Ödemiş|Programlama dili|Periplus Maris Erythraei|2026 FIFA Dünya Kupası elemeleri (AFC)|2019 Eurovision Şarkı Yarışması'nda İsviçre
Metinde hangi yöntemlerle kişisel bilgilerin gizliliğinin ihlal edildiği ve spam içeriklerinin zararları nelerdir?|Spam|Programlama dili|Periplus Maris Erythraei|Devlet destekli internet propagandası|Birinci normal form
Basketbolun Avrupa'daki ilk denemesi, 1893 yılında mı yapılmıştır?|Fedir Şçus|Brüksel Antlaşması (1965)|Basketbol|Avrupa E-yolu E33|1972 Avrupa Artistik Patinaj Şampiyonası
Metinde, sosyoloji veya toplumbilimi disiplini hakkında genel bilgiler verilmektedir.|Marcel Mauss|Sosyoloji|Library Journal|2022 Kış Olimpiyatları'nda alp disiplini - Kadınlar iniş|Kolektif eylem
Aliağa ilçesinin nüfusu kaç kişidir ve kadınların nüfusa oranı nedir?|Güzelhisar, Aliağa|Aliağa|Cortegana|Jete|Lobras
Metinde spam olarak tanımlanan nedir ve spam'ın tarihçesi nasıldır?|Spam|Ontoloji|Cadutherium|Kırıkuşağı, Feke|Scyliorhinus canicula
Metinde, Türkiye'nin Mustafa Kemal Atatürk'e olan saygısı ve onun hatırasını yaşatma çabaları ile Atatürk'ün dünya çapında popülerliği ve etkisi hakkında bilgiler verilmiştir.|Mustafa Kemal Atatürk|İzmir Atatürk Müzesi|Konya Atatürk Evi Müzesi|Cemal Granda|Mustafa Kemal Atatürk'ün askerî kariyeri
II. Genel Kurul'un açılışında hangi şiir yayınlanmıştır?|Tanja Bakić|II. George (anlam ayrımı)|Biz Savaştayken|Now That I've Found You|II. Leopold
Yıldız Savaşları filmlerinde kullanılan görüntü oranı nedir?|Yıldız Savaşları|Hasan Gergin|George Lucas|Ulead VideoStudio|Lucasfilm
Gürgenç kuşatması kaç ay sürdü?|344|Chang'e 4|Kut Türk Şehitliği|637|16. yüzyıl
23 Nisan Kulesi'nin iç duvarındaki kabartmada, kağıdın üzerinde hangi tarih yazmaktadır?|Guangzhou Televizyon Kulesi|Kemer Saat Kulesi|Anıtkabir|Yaka Kalesi|Programlama dili
Zazaca dili ve Zaza halkıyla ilgili temel bilgiler nelerdir?|Zazaca|Dil|Likçe|Okçular, Kovancılar|Altınışık, Bingöl
Büyük Hun İmparatorluğu'nun kuruluşu ne zaman gerçekleşti?|MÖ 220|637|Okarina|Atina Antlaşması (1913)|Düyûn-ı Umûmiye
Türkiye çerçevesinden bakıldığında, en duru konuşma dili İstanbul Türkçesi olarak mi kabul edilir?|Dil|Türkiye|Nükhet Duru IV|Ğugas İnciciyan|Abuşka Lugati
İnönü'nün sembolik lahdinin bulunduğu bölgedeki mezar odasında İnönü'nün hangi tarihte yazdığı bir söz yer almaktadır?|Kümbet, İnönü|İsmet İnönü|Mevhibe İnönü|Anıtkabir|Ömer Evci
Konak Meydanı'nda 10 Kasım 2006'da açılan sergide, Anıtkabir kompleksi hangi tarihe kadar ziyaret edilebilmiştir?|Anıtkabir|Konak (yapı)|Temple Meydanı|Tilkilik|Kordon (İzmir)
Şuana kadar toplamda kaç programlama dili geliştirilmiştir?|Programlama dili|Bilgisayar programcılığı|2014-15 UEFA Şampiyonlar Ligi ön eleme ve play-off turu|Otomatik programlama|Dil
Proje yarışmasına kaç farklı ülkeden toplam kaç proje gönderildi?|Lucie Váchová|Çekim programı|Hasan Gergin|Sun Yat-sen Anıt Mezarı|Proje 23000E Storm
Tarımda kullanılan enerjinin büyük bir bölümü fosil yakıtlardan mı sağlanmaktadır?|Tarım|İç enerji|Yuxisaurus|Kopepod|Perfotricolpites digitatus
Bu metinde hangi Mısır tanrılarından bahsedilmektedir?|Antik Mısır|Aşağı Mısır|El-Hevemdeyye|1952 Mısır Devrimi|Mısır Kupası
Türkiye'nin illerinin idari tarihi ve demografik özellikleri nelerdir?|Türkiye|Kasaba (Çin)|Arapapıştı Kanyonu|Tarihî Sukotay Kenti ve İlgili Tarihî Kentler|Açit Gölü
Yoda, öldüğünde Luke Skywalker'un yanındaydı mı?|Yoda|Tusken Akıncıları|Kylo Ren|Star Wars Jedi Knight: Jedi Academy|Örümcek Ayak
Aliağa ilçesindeki tarım topraklarının yüzdesi nedir?|Güzelhisar, Aliağa|Aliağa|Tarım|Passos (Fafe)|Habaş/Aliağa-DGKÇ Santrali
İsmet İnönü hangi göreve atanarak askerlikten emekli oldu?|İsmet İnönü|Kümbet, İnönü|Mevhibe İnönü|Ömer Evci|Hür Demokrat Parti (Kuzey Kıbrıs Türk Cumhuriyeti)
Metinde, Mustafa Kemal Atatürk'ün dinî inancı ve bu konudaki farklı görüşler ile Atatürk'ün hatırasının yaşatılması ve Türkiye'deki Atatürk kültürü hakkında bilgiler verilmiştir.|Mustafa Kemal Atatürk|Konya Atatürk Evi Müzesi|İzmir Atatürk Müzesi|Cemal Granda|Anıtkabir
Esperanto, II. Dünya Savaşı sırasında Hitler tarafından kullanımı teşvik edilmiş midir?|Esperanto|Karl Wilhelm Krause|Dünya savaşı|Otto von Lossow|Johann Rattenhuber
Özgür yazılımın yayılmasına öncülük eden isimler kimlerdir?|Özgür yazılım|GMER|Özgür Masur|Pia Andrews|Skeptic
Osmanlı döneminde Türk dilinde Fizik yerine Hikmet-i Tabiyye kelimesi kullanılıyor muydu?|Fizik|Nâzım Hikmet Kültür Merkezi|1787-1792 Osmanlı-Rus Savaşı|Meclis-i Vükelâ|Havok (yazılım)
Uluslararası Olimpiyat Komitesi'nin Pekin'e 2008 Yaz Olimpiyatlarına ev sahipliği yapma hakkını verdiği tarih kaçtır?|1964 Yaz Olimpiyatları madalya sıralaması|Alla Vajenina|Ferenc Kiss|Steven Hooker|2008 Yaz Olimpiyatları'nda yüzme
Pisagor, hangi geometrik üçgenleri bulmuştur?|Pisagor|Pisagor teoremi|Programlama dili|Periplus Maris Erythraei|Uninvited
Metinde e-posta adreslerinin satışı ve içerikleriyle ilgili hangi bilgiler verilmektedir?|Posta|Spam|Europa posta pulları|Çin'in posta tarihi ve posta pulları|Periplus Maris Erythraei
